,name,date,code,market_name,market_key,v_kobo,kessan,p_kari,p_uri,bb,koutou,content
510,竹内製作所,2002/12/12,6432,ＪＱ,大和証券SMBC,1140000,2,650円 - 750円,720,2002/11/25 - 2002/11/29,+2.77,建設機械等の製造及び販売等
511,【取消】イー・アクセス,2002/12/12,9427,マザーズ,野村證券,40000,3,"120,000円 - 180,000円",2002/12/0,2002/11/25 - 2002/11/29,--,ブロードバンドＩＰ通信サービス
512,トランスジェニック,2002/12/10,2342,マザーズ,大和証券SMBC,20300000,3,150円 - 180円,180,2002/11/21 - 2002/11/27,+30.55,遺伝子破壊マウス作製及び当該マウスに係る遺伝子機能情報等の提供
513,テンポスバスターズ,2002/12/10,2751,ＪＱ,みずほ証券,1900,4,"200,000円 - 300,000円",300000,2002/11/21 - 2002/11/27,+13.33,店舗用設備及び店舗用備品等の中古品並びに新品のディスカウント販売、飲食店向け各種支援サービス並びに情報提供
514,ピクセラ,2002/12/10,6731,マザーズ,日興ソロモン・スミス・バーニー証券,3162500,9,"1,400円 - 1,700円",1700,2002/11/25 - 2002/11/29,+5.00,画像編集ソフト、ＭＰＥＧ・ＴＶキャプチャー等の企画・開発
515,ノース,2002/12/10,6732,マザーズ,野村證券,3450,9,"200,000円 - 270,000円",270000,2002/11/21 - 2002/11/27,+48.14,プリント配線板接合技術の開発及び販売等
516,アルバイトタイムス,2002/12/04,2341,ＪＱ,野村證券,1450000,2,700円 - 800円,800,2002/11/15 - 2002/11/21,+1.25,求人情報誌や生活情報誌の発行等を行う情報関連事業及び人材派遣等人材関連事業
517,日本高純度化学,2002/12/03,4973,ＪＱ,新光証券,3900,3,"290,000円 - 330,000円",310000,2002/11/18 - 2002/11/21,+12.90,"電子部品のプリント基板（パッケージ基板を含む）、コネクタ及びリードフレーム等の接点、接続部位に使用される貴金属めっき用薬品の開発、製造及び販売。
"
518,自然堂,2002/11/27,2340,ＪＱ,明光ナショナル証券,350000,3,"1,700円 - 2,200円",2200,2002/11/12 - 2002/11/15,0,スーパー銭湯極楽湯の直営店の経営及びFC加盟店の運営管理
519,ザイオン,2002/11/19,2338,マザーズ,野村證券,3450,2,"80,000円 - 100,000円",93000,2002/10/31 - 2002/11/07,+6.12,インターネットに関するコンサルティング事業、システム開発におけるプロジェクトマネジメント事業
520,マーベラスエンターテイメント,2002/11/18,7844,ＪＱ,新光証券,1700,3,"200,000円 - 250,000円",220000,2002/10/30 - 2002/11/05,-0.45,音楽・映像・ゲームソフト・ＣＧアニメーションの企画・制作・販売、アミューズメント施設の運営等
521,石光商事,2002/11/12,2750,ＪＱ,野村證券,1600000,3,450円 - 520円,450,2002/10/23 - 2002/10/29,-2.22,コーヒー生豆、紅茶他の飲料原料、食品（常温食品及び冷凍食品）、工業用食品原料の輸入・仕入販売及びレギュラーコーヒーの焙煎・加工製造販売
522,アセット・マネジャーズ,2002/11/08,2337,ナスダックジャパン,新光証券,2300,2,"110,000円 - 135,000円",135000,2002/10/22 - 2002/10/25,+100.74,不動産流動化事業及び不動産ファンド事業等
523,ダイコク電機,2002/11/06,6430,東証２部,野村證券,3450000,3,650円 - 900円,650,2002/10/17 - 2002/10/23,+22.92,パチンコホール向けコンピュータシステムの開発、製造、販売及びパチンコ遊技機・パチスロ遊技機の一部ユニットの開発、製造、販売
524,キューブシステム,2002/10/30,2335,ＪＱ,野村證券,162000,3,"2,800円 - 3,000円",2800,2002/10/10 - 2002/10/17,+0.71,システムソリューション・サービス
525,毎日コムネット,2002/10/29,8908,ＪＱ,新光証券,700000,11,340円 - 400円,370,2002/10/09 - 2002/10/16,+4.05,学生支援事業（学生マンションの斡旋・管理、合宿・イベント旅行の企画手配等、アルバイト紹介等）及び一般旅行斡旋
526,綜合警備保障,2002/10/25,2331,東証１部,大和証券SMBC,25920000,3,"1,450円 - 1,750円",1550,2002/10/03 - 2002/10/11,0,機械警備、常駐警備及び警備輸送のセキュリティ事業等
527,ジー・モード,2002/10/18,2333,ＪＱ,ＨＳＢＣ証券,6000,3,"250,000円 - 280,000円",280000,2002/10/01 - 2002/10/07,+3.57,携帯電話のインターネット接続サービス向けのゲームコンテンツの企画・開発および配信を行うプロバイダー事業
528,新日鉄ソリューションズ,2002/10/11,2327,東証１部,大和証券SMBC,5063000,3,"5,500円 - 6,000円",5500,2002/09/19 - 2002/09/27,-20.00,情報システムの企画設計、開発、運用・保守サービスの提供
529,クエスト,2002/10/11,2332,ＪＱ,明光ナショナル証券,1100000,3,"1,200円 - 1,400円",1300,2002/09/24 - 2002/09/27,-15.38,ソフトウェア開発及びシステム運用管理を主とする情報サービス業
530,アリサカ,2002/10/10,2328,ＪＱ,新光証券,500000,3,320円 - 480円,440,2002/09/24 - 2002/09/27,+6.81,ゲームセンターの単独店舗およびゲームにボウリング場、カラオケルーム、バッティングセンター、スーパー銭湯等を併設した複合店舗の運営
531,フォーサイド・ドット・コム,2002/10/10,2330,ＪＱ,日興ソロモン・スミス・バーニー証券,9000,10,"95,000円 - 120,000円",95000,2002/09/25 - 2002/10/01,-26.31,携帯電話用コンテンツの開発及び運営
532,フージャースコーポレーション,2002/10/10,8907,ＪＱ,UFJつばさ証券,1500,3,"170,000円 - 210,000円",210000,2002/09/25 - 2002/10/01,0,分譲マンションの企画・販売
533,ジェイ・プランニング,2002/10/09,2749,ＪＱ,日興ソロモン・スミス・バーニー証券,2500,3,"100,000円 - 130,000円",130000,2002/09/24 - 2002/09/30,+23.07,パチンコホールにおけるワゴンサービス事業、飲食事業及び託児所事業
534,東北新社,2002/10/08,2329,ＪＱ,三菱証券,6200000,3,"2,200円 - 2,700円",2700,2002/09/20 - 2002/09/27,-37.03,ＣＭ、テレビドラマ等の映像コンテンツ制作事業、映画使用権調達配給事業及び衛星放送事業等
535,メディア・リンクス,2002/10/08,2748,ナスダックジャパン,コスモ証券,12000,3,"40,000円 - 45,000円",45000,2002/09/20 - 2002/09/26,+6.66,"情報処理システムの販売・サービスの提供、コンピュータースクールの運営並びに
人材派遣・業務請負"
536,【取消】積和不動産九州,2002/10/08,8906,ＪＱ,大和証券SMBC,700000,1,220円 - 240円,240,2002/09/18 - 2002/09/25,--,不動産売買及び賃貸の仲介、不動産賃貸、不動産管理並びに不動産販売
537,アインメディカルシステムズ,2002/10/04,2746,ＪＱ,いちよし証券,700,1,"250,000円 - 300,000円",300000,2002/09/13 - 2002/09/20,+30.00,医療調剤並びに医薬品の販売
538,北雄ラッキー,2002/10/04,2747,ＪＱ,日興ソロモン・スミス・バーニー証券,1150000,2,380円 - 420円,420,2002/09/19 - 2002/09/25,+7.14,生鮮食料品を中心に一般食料品及びファミリー衣料品を販売の主体とするスーパーマーケット
539,日本上下水道設計,2002/09/26,2325,東証２部,野村證券,3200,12,"250,000円 - 280,000円",280000,2002/09/05 - 2002/09/11,0,上水道、下水道及び環境・その他に関連する業務に関する総合コンサルタント
540,アンジェス　エムジー,2002/09/25,4563,マザーズ,野村證券,23800,12,"150,000円 - 250,000円",220000,2002/09/04 - 2002/09/10,+81.81,医薬品及び研究用試薬の研究開発等
541,ネットビレッジ,2002/09/19,2323,ナスダックジャパン,さくらフレンド証券,9000,3,"65,000円 - 75,000円",75000,2002/09/02 - 2002/09/06,+6.66,インターネット対応携帯電話向けコンテンツの開発及び提供並びにゲームソフトの開発及び販売等
542,ピープルスタッフ,2002/09/19,2324,ＪＱ,東海東京証券,1500,3,"240,000円 - 280,000円",260000,2002/09/02 - 2002/09/06,+11.53,人材派遣関連事業、教育サービス事業、人材紹介事業
543,デジタルアーツ,2002/09/19,2326,ナスダックジャパン,日興ソロモン・スミス・バーニー証券,2000,3,"72,000円 - 81,000円",81000,2002/09/03 - 2002/09/09,+185.18,インターネットセキュリティ関連ソフトウェアの企画・開発・販売等
544,コタ,2002/09/19,4923,大証２部,大和証券SMBC,1000000,3,380円 - 420円,400,2002/08/30 - 2002/09/05,+2.50,美容室向け頭髪用化粧品・医薬部外品の製造及び販売等
545,ＮＥＣフィールディング,2002/09/18,2322,東証１部,大和証券SMBC,7400000,3,"4,500円 - 4,700円",4500,2002/08/29 - 2002/09/04,-2.00,ＩＴシステムに関する各種サポート、サービスの提供
546,ビービーネット,2002/09/10,2318,ナスダックジャパン,エイチ・エス証券,1500,7,"145,000円 - 175,000円",145000,2002/08/20 - 2002/08/27,+28.96,製菓・製パンの原材料のオンライン通信販売
547,ソフトフロント,2002/09/10,2321,ナスダックジャパン,野村證券,2875,3,"200,000円 - 300,000円",230000,2002/08/22 - 2002/08/28,+4.34,ＶｏＩＰ(Voice over Internet Protocol)技術を基礎とした受託開発及びソフトウェアの販売事業等
548,ウイン・インターナショナル,2002/09/10,2744,ＪＱ,新光証券,900,3,"450,000円 - 550,000円",500000,2002/08/23 - 2002/08/28,+6.00,医療施設向け医療機器の販売、病院開設支援コンサルト、ソフトウェア開発・販売
549,ハイブリッド・サービス,2002/09/06,2743,ＪＱ,新光証券,10000,12,"70,000円 - 90,000円",70000,2002/08/20 - 2002/08/23,+0.71,トナーカートリッジをはじめとするＯＡサプライ品（消耗品）の販売。
550,日本ヘラルド映画,2002/09/04,2320,ＪＱ,国際証券,6700,3,"220,000円 - 250,000円",250000,2002/08/19 - 2002/08/22,-18.00,映画の劇場への配給、映画のビデオ・ビデオ化権販売、映画のテレビ放映権販売、映画館経営および映像作品の日本語版制作事業
551,ハローズ,2002/09/03,2742,ＪＱ,野村證券,1830000,2,650円 - 700円,700,2002/08/15 - 2002/08/21,+8.57,２４時間営業を主体に、広島県東部及び岡山県の瀬戸内沿岸部においてドミナント展開（一定の地域を面でカバーすること）する食品スーパーマーケットチェーン
552,システムプロ,2002/08/27,2317,ナスダックジャパン,東洋証券,1300,10,"240,000円 - 300,000円",300000,2002/08/07 - 2002/08/14,-8.33,移動体通信端末におけるソフトウェア開発支援、ネットワーク・コンサルティング及びデジタルコンテンツの開発・販売等
553,モスインスティテュート,2002/08/08,2316,ナスダックジャパン,日興ソロモン・スミス・バーニー証券,1500,7,"440,000円 - 500,000円",500000,2002/07/24 - 2002/07/30,-10.00,製薬会社等が行う臨床試験、市販後調査に関するデータ管理支援事業等
554,【取消】サン・ジャパン,2002/07/31,2315,ナスダックジャパン,みずほ証券,1700,3,"650,000円 - 240,000円",2002/07/2,2002/07/15 - 2002/07/19,--,システム開発を中心とする情報サービス事業
555,レントラックジャパン,2002/07/30,2314,ナスダックジャパン,新光証券,1170000,3,"1,100円 - 1,300円",1300,2002/07/12 - 2002/07/18,-1.53,映像ソフト及び音楽CDソフト等の加盟店への貸与及び販売事業等
556,コンピュータウェーブ,2002/07/30,2740,ＪＱ,野村證券,2000,9,"350,000円 - 500,000円",460000,2002/07/11 - 2002/07/17,-6.52,パソコン用ソフトウェア等のデジタルコンテンツ及び関連するサービスの販売
