_id,code,date,name,market_key,market_name,sector_key,sector_name,url,p_kari,v_kobo,p_uri,v_uri,unit
6089,6089,2013/12/19,（株）ウィルグループ,tse2,東証二部,svc,サービス,,"2,770～2,870",333.2,"2,870",405.1(OA110.7),100
6086,6086,2013/12/19,シンプロメンテ（株）,mothers,マザーズ,svc,サービス,,910～950,200,950,150(OA52.5),100
4245,4245,2013/12/19,（株）ダイキアクシス,tse2,東証二部,che,化学,,"1,200～1,300",500,"1,300",200(OA105),100
6088,6088,2013/12/18,（株）シグマクシス,mothers,マザーズ,svc,サービス,,"2,830～3,010",211.7,"3,010","1,377.3(OA238.3)",100
6087,6087,2013/12/18,（株）アビスト,jasdaqst,JQスタンダード,svc,サービス,,"3,250～3,450",450,"3,450",74.4(OA78.6),100
6085,6085,2013/12/18,アーキテクツ・スタジオ・ジャパン（株）,mothers,マザーズ,svc,サービス,,"1,850～2,050",250,"2,050",50(OA45),100
3294,3294,2013/12/18,（株）イーグランド,jasdaqst,JQスタンダード,ree,不動産,,"3,030～3,300",250,"3,300",100(OA52.5),100
3293,3293,2013/12/17,アズマハウス（株）,jasdaqst,JQスタンダード,ree,不動産,,"1,500～1,600",550,"1,600",575(OA168.7),100
1429,1429,2013/12/13,（株）日本アクア,mothers,マザーズ,con,建設,,"1,480～1,650","1,570","1,650",(OA235.5),100
6084,6084,2013/12/11,（株）オウチーノ,mothers,マザーズ,svc,サービス,,"3,300～3,500",130,"3,500",10.2(OA20),100
3682,3682,2013/12/11,エンカレッジ・テクノロジ（株）,mothers,マザーズ,ifc,情報・通信,,"1,550～1,730",330,"1,730",317.6(OA97.1),100
3681,3681,2013/12/10,（株）ブイキューブ,mothers,マザーズ,ifc,情報・通信,,"3,000～3,300",600,"3,300",567.7(OA175.1),100
3680,3680,2013/12/09,（株）ホットリンク,mothers,マザーズ,ifc,情報・通信,,"2,570～2,700",188.8,"2,700",280(OA70.3),100
4588,4588,2013/12/06,オンコリスバイオファーマ（株）,mothers,マザーズ,pha,医薬品,,"2,420～2,600","1,820","2,600",400(OA333),100
6082,6082,2013/12/03,（株）ライドオン・エクスプレス,mothers,マザーズ,svc,サービス,,"1,790～2,000",250,"2,000",790(OA156),100
6083,6083,2013/12/02,ＥＲＩホールディングス（株）,tse1,東証一部,svc,サービス,,,,,,100
6081,6081,2013/11/29,アライドアーキテクツ（株）,mothers,マザーズ,svc,サービス,,"1,500～1,700",400,"1,700",262.5(OA99.3),100
3166,3166,2013/11/25,ＯＣＨＩホールディングス（株）,tse2,東証二部,wht,卸売,,,,,,100
3679,3679,2013/11/22,（株）じげん,mothers,マザーズ,ifc,情報・通信,,500～600,"1,000",600,"7,550(OA1,282.5)",100
